_date,time,preclose,high,low,match,open,volume,turnover,matchitems,,
1990/12/19,1990/12/19,0,109.13,95.79,109.13,96.05,126000,2650000,0,,
1990/12/24,1990/12/24,109.13,126.45,109.13,126.45,113.57,6600,2650000,0,,
1990/12/31,1990/12/31,126.45,131.44,126.48,131.44,126.56,41000,3300000,0,,
1991/1/7,1991/1/7,131.44,134.61,131.45,134.6,131.99,3170100,17500000,0,,
1991/1/14,1991/1/14,134.6,135.19,133.65,134.24,134.11,1746000,9800000,0,,
1991/1/21,1991/1/21,134.24,134.24,132.03,132.05,133.7,880000,4200000,0,,
1991/1/28,1991/1/28,132.05,131.55,129.45,129.51,131.46,786600,3700000,0,,
1991/2/4,1991/2/4,129.51,130.39,128.06,130.38,129.05,1911100,10500000,0,,
1991/2/11,1991/2/11,130.38,132.53,130.39,132.53,130.92,1783900,9100000,0,,
1991/2/19,1991/2/19,132.53,134.87,133.08,134.87,133.12,926300,5400000,0,,
1991/2/25,1991/2/25,134.87,134.87,132.47,132.53,134.37,1149500,8000000,0,,
1991/3/4,1991/3/4,132.53,132.09,129.84,129.89,132.09,572000,4500000,0,,
1991/3/11,1991/3/11,129.89,129.89,125.08,125.17,129.3,308100,1900000,0,,
1991/3/18,1991/3/18,125.17,125.17,122.62,122.62,124.7,316100,2400000,0,,
1991/3/25,1991/3/25,122.62,122.62,120.11,120.19,122.12,427900,3900000,0,,
1991/4/1,1991/4/1,120.19,122.2,119.68,121.54,120.69,3686000,17800000,0,,
1991/4/8,1991/4/8,121.54,121.11,119.15,119.21,121.11,291400,2800000,0,,
1991/4/15,1991/4/15,119.21,119.22,117.05,117.08,118.73,139200,1100000,0,,
1991/4/22,1991/4/22,117.08,117.08,114.52,115.56,116.63,1569500,7300000,0,,
1991/4/29,1991/4/29,115.56,116.29,112.3,112.41,114.86,1885900,9700000,0,,
1991/5/6,1991/5/6,112.41,112.41,108.53,108.53,111.65,743500,4100000,0,,
1991/5/13,1991/5/13,108.53,107.88,104.96,106.75,107.88,2417700,9500000,0,,
1991/5/20,1991/5/20,106.75,110.08,106.71,110.08,107.76,2686200,13400000,0,,
1991/5/27,1991/5/27,110.08,114.83,109.47,114.83,111.05,1233500,8100000,0,,
1991/6/3,1991/6/3,114.83,120.47,114.89,120.47,115.9,510200,4900000,0,,
1991/6/10,1991/6/10,120.47,126.34,120.47,124.53,121.65,2950800,16400000,0,,
1991/6/17,1991/6/17,124.53,130.86,123.54,130.86,125.63,2613600,14700000,0,,
1991/6/24,1991/6/24,130.86,137.56,131.8,137.56,132.1,1621200,10400000,0,,
1991/7/1,1991/7/1,137.56,138.62,134.19,135.96,136.64,5628900,35200000,0,,
1991/7/8,1991/7/8,135.96,136.57,132.42,132.8,135.26,2833100,13600000,0,,
1991/7/15,1991/7/15,132.8,138.54,131.87,136.7,133.9,2685500,12700000,0,,
1991/7/22,1991/7/22,136.7,141.46,136.7,140.66,138.07,3353100,16300000,0,,
1991/7/29,1991/7/29,140.66,146.68,140.81,146.68,141.22,3083600,15000000,0,,
1991/8/5,1991/8/5,146.68,154.1,146.68,154.1,148.06,1387400,6900000,0,,
1991/8/12,1991/8/12,154.1,161.6,154.1,161.6,155.34,3191500,16800000,0,,
1991/8/19,1991/8/19,161.6,169.81,161.6,169.81,163.21,668500,4300000,0,,
1991/8/26,1991/8/26,169.81,178.43,169.81,178.43,171.51,1142700,7300000,0,,
1991/9/2,1991/9/2,178.43,187.36,178.43,187.36,180.08,763900,4800000,0,,
1991/9/9,1991/9/9,187.36,190.98,185.01,187.79,189.1,11474800,78600000,0,,
1991/9/16,1991/9/16,187.79,191.18,185.66,185.92,189.55,9007700,57900000,0,,
1991/9/23,1991/9/23,185.92,185.92,181.19,181.82,185,4680500,29700000,0,,
1991/9/30,1991/9/30,181.82,184.29,179.8,184.29,180.28,4997700,39600000,0,,
1991/10/7,1991/10/7,184.29,192.88,185.41,192.85,185.95,7353700,47300000,0,,
1991/10/14,1991/10/14,192.85,202.51,192.32,202.51,194.06,5078700,33700000,0,,
1991/10/21,1991/10/21,202.51,211.97,202.51,211.86,204.53,6011600,41200000,0,,
1991/10/28,1991/10/28,211.86,220.72,211.86,220.72,213.5,1800100,13300000,0,,
1991/11/4,1991/11/4,220.72,231.22,220.79,231.22,222.77,2920300,22600000,0,,
1991/11/11,1991/11/11,231.22,238.25,231.22,238.25,233.48,686600,6600000,0,,
